InvoiceNo,CustomerID,StockCode,Quantity,InvoiceDate
536415,12838,22147,4,2010-01-12 11:57:00
536415,12838,22694,5,2010-01-12 11:57:00
536415,12838,21212,2,2010-01-12 11:57:00
536415,12838,21977,3,2010-01-12 11:57:00
536415,12838,21916,2,2010-01-12 11:57:00
536415,12838,22557,3,2010-01-12 11:57:00
536415,12838,22551,3,2010-01-12 11:57:00
536415,12838,22837,3,2010-01-12 11:57:00
536415,12838,85049H,2,2010-01-12 11:57:00
536416,13255,22938,12,2010-01-12 11:58:00
536420,16583,22113,4,2010-01-12 12:03:00
536420,16583,22357,4,2010-01-12 12:03:00
536423,18085,21481,6,2010-01-12 12:08:00
536423,18085,22837,8,2010-01-12 12:08:00
536423,18085,21479,8,2010-01-12 12:08:00
536423,18085,21485,8,2010-01-12 12:08:00
536423,18085,22113,8,2010-01-12 12:08:00
536425,13758,22837,8,2010-01-12 12:08:00
536425,13758,79321,8,2010-01-12 12:08:00
536425,13758,22637,12,2010-01-12 12:08:00
536425,13758,22449,6,2010-01-12 12:08:00
536446,15983,10133,5,2010-01-12 12:15:00
536446,15983,20774,2,2010-01-12 12:15:00
536446,15983,20773,2,2010-01-12 12:15:00
536446,15983,16016,10,2010-01-12 12:15:00
536446,15983,22618,2,2010-01-12 12:15:00
536446,15983,22152,24,2010-01-12 12:15:00
536446,15983,84754,24,2010-01-12 12:15:00
536460,14849,84992,24,2010-01-12 12:22:00
536460,14849,21977,24,2010-01-12 12:22:00
536460,14849,21485,6,2010-01-12 12:22:00
536460,14849,21484,8,2010-01-12 12:22:00
536464,17968,90200B,2,2010-01-12 12:23:00
536464,17968,90200C,1,2010-01-12 12:23:00
536464,17968,90200D,3,2010-01-12 12:23:00
536464,17968,90200A,1,2010-01-12 12:23:00
536464,17968,21977,1,2010-01-12 12:23:00
536464,17968,16258A,1,2010-01-12 12:23:00
536464,17968,21992,1,2010-01-12 12:23:00
536464,17968,22809,1,2010-01-12 12:23:00
536464,17968,85095,1,2010-01-12 12:23:00
536464,17968,22333,1,2010-01-12 12:23:00
536464,17968,22557,1,2010-01-12 12:23:00
536464,17968,22558,2,2010-01-12 12:23:00
536464,17968,22956,1,2010-01-12 12:23:00
536464,17968,22582,1,2010-01-12 12:23:00
536464,17968,21212,1,2010-01-12 12:23:00
536464,17968,21212,2,2010-01-12 12:23:00
536464,17968,22759,1,2010-01-12 12:23:00
536464,17968,21328,1,2010-01-12 12:23:00
536464,17968,21327,1,2010-01-12 12:23:00
536488,17897,22738,5,2010-01-12 12:31:00
536488,17897,21621,1,2010-01-12 12:31:00
536488,17897,21577,1,2010-01-12 12:31:00
536488,17897,22087,1,2010-01-12 12:31:00
536488,17897,22376,1,2010-01-12 12:31:00
536488,17897,22468,1,2010-01-12 12:31:00
536500,17377,21622,10,2010-01-12 12:35:00
536500,17377,22113,3,2010-01-12 12:35:00
536520,14729,21794,1,2010-01-12 12:43:00
536520,14729,21867,1,2010-01-12 12:43:00
536520,14729,22107,2,2010-01-12 12:43:00
536520,14729,22470,1,2010-01-12 12:43:00
536520,14729,22151,14,2010-01-12 12:43:00
536520,14729,22099,2,2010-01-12 12:43:00
536520,14729,22553,1,2010-01-12 12:43:00
536520,14729,22551,1,2010-01-12 12:43:00
536520,14729,22653,1,2010-01-12 12:43:00
536520,14729,22557,2,2010-01-12 12:43:00
536520,14729,22938,5,2010-01-12 12:43:00
536520,14729,22152,12,2010-01-12 12:43:00
536520,14729,22955,2,2010-01-12 12:43:00
536520,14729,22956,2,2010-01-12 12:43:00
536520,14729,22582,2,2010-01-12 12:43:00
536520,14729,22092,1,2010-01-12 12:43:00
536520,14729,22100,1,2010-01-12 12:43:00
536520,14729,22096,1,2010-01-12 12:43:00
536520,14729,84378,1,2010-01-12 12:43:00
536520,14729,71406C,12,2010-01-12 12:43:00
536520,14729,21111,1,2010-01-12 12:43:00
536520,14729,22501,1,2010-01-12 12:43:00
536522,15012,47599A,1,2010-01-12 12:49:00
536522,15012,47599B,1,2010-01-12 12:49:00
536522,15012,22569,1,2010-01-12 12:49:00
536522,15012,22449,1,2010-01-12 12:49:00
536522,15012,22151,2,2010-01-12 12:49:00
536522,15012,84968C,1,2010-01-12 12:49:00
536522,15012,22151,1,2010-01-12 12:49:00
536522,15012,84563A,1,2010-01-12 12:49:00
536522,15012,22107,2,2010-01-12 12:49:00
536522,15012,47504H,1,2010-01-12 12:49:00
536523,12868,22468,2,2010-01-12 12:50:00
536523,12868,21485,3,2010-01-12 12:50:00
536524,17572,21111,6,2010-01-12 12:51:00
536525,14078,15044B,1,2010-01-12 12:54:00
536526,14001,22626,2,2010-01-12 12:58:00
536526,14001,22624,6,2010-01-12 12:58:00
536526,14001,22113,8,2010-01-12 12:58:00
536527,12662,22809,6,2010-01-12 13:04:00
536527,12662,22837,4,2010-01-12 13:04:00
536527,12662,84569B,12,2010-01-12 13:04:00
536528,15525,22584,2,2010-01-12 13:17:00
536528,15525,22938,3,2010-01-12 13:17:00
536528,15525,21992,1,2010-01-12 13:17:00
536528,15525,22938,1,2010-01-12 13:17:00
536528,15525,22445,4,2010-01-12 13:17:00
536528,15525,22568,3,2010-01-12 13:17:00
536528,15525,22570,1,2010-01-12 13:17:00
536528,15525,22968,3,2010-01-12 13:17:00
536529,14237,21743,6,2010-01-12 13:20:00
536529,14237,21258,1,2010-01-12 13:20:00
536530,17905,22360,2,2010-01-12 13:21:00
536530,17905,21625,1,2010-01-12 13:21:00
536530,17905,22097,1,2010-01-12 13:21:00
536530,17905,22185,4,2010-01-12 13:21:00
536530,17905,85104,8,2010-01-12 13:21:00
536532,12433,84692,50,2010-01-12 13:24:00
536532,12433,22444,96,2010-01-12 13:24:00
536532,12433,22553,24,2010-01-12 13:24:00
536532,12433,22551,24,2010-01-12 13:24:00
536532,12433,21982,48,2010-01-12 13:24:00
536532,12433,21967,48,2010-01-12 13:24:00
536532,12433,22092,12,2010-01-12 13:24:00
536532,12433,21983,48,2010-01-12 13:24:00
536532,12433,22614,48,2010-01-12 13:24:00
536532,12433,21984,48,2010-01-12 13:24:00
536532,12433,22557,36,2010-01-12 13:24:00
536532,12433,22956,12,2010-01-12 13:24:00
536532,12433,84050,72,2010-01-12 13:24:00
536532,12433,84992,24,2010-01-12 13:24:00
536532,12433,21213,24,2010-01-12 13:24:00
536532,12433,21977,24,2010-01-12 13:24:00
536532,12433,21212,24,2010-01-12 13:24:00
536532,12433,22667,12,2010-01-12 13:24:00
536532,12433,22558,24,2010-01-12 13:24:00
536534,15350,22112,3,2010-01-12 13:33:00
536535,15605,21485,3,2010-01-12 13:38:00
536535,15605,22418,24,2010-01-12 13:38:00
536536,18144,21485,3,2010-01-12 13:45:00
536537,15922,22333,8,2010-01-12 13:51:00
536537,15922,22800,8,2010-01-12 13:51:00
536538,14594,22752,2,2010-01-12 13:54:00
536538,14594,22470,2,2010-01-12 13:54:00
536538,14594,22584,2,2010-01-12 13:54:00
536539,15165,22171,2,2010-01-12 14:03:00
536539,15165,21625,3,2010-01-12 14:03:00
536539,15165,21743,6,2010-01-12 14:03:00
536539,15165,22557,12,2010-01-12 14:03:00
536539,15165,84030E,4,2010-01-12 14:03:00
536539,15165,21481,6,2010-01-12 14:03:00
536539,15165,22379,5,2010-01-12 14:03:00
536540,14911,22968,4,2010-01-12 14:05:00
536540,14911,21576,6,2010-01-12 14:05:00
536540,14911,22147,12,2010-01-12 14:05:00
536540,14911,22493,24,2010-01-12 14:05:00
536540,14911,85136A,2,2010-01-12 14:05:00
536540,14911,21055,4,2010-01-12 14:05:00
536540,14911,22622,6,2010-01-12 14:05:00
536540,14911,C2,1,2010-01-12 14:05:00
536542,16456,20727,10,2010-01-12 14:11:00
536542,16456,22379,20,2010-01-12 14:11:00
C536548,12472,22333,-1,2010-01-12 14:33:00
536551,17346,22466,6,2010-01-12 14:34:00
536551,17346,22837,2,2010-01-12 14:34:00
536551,17346,22174,3,2010-01-12 14:34:00
536551,17346,22112,1,2010-01-12 14:34:00
536551,17346,22551,1,2010-01-12 14:34:00
536551,17346,22557,1,2010-01-12 14:34:00
536551,17346,22629,1,2010-01-12 14:34:00
536551,17346,21916,3,2010-01-12 14:34:00
536556,17643,22694,6,2010-01-12 14:38:00
536557,17841,21258,1,2010-01-12 14:41:00
536557,17841,84920,1,2010-01-12 14:41:00
536557,17841,22553,1,2010-01-12 14:41:00
536557,17841,22568,1,2010-01-12 14:41:00
536557,17841,22570,1,2010-01-12 14:41:00
536557,17841,22785,1,2010-01-12 14:41:00
536557,17841,22786,2,2010-01-12 14:41:00
536557,17841,21485,1,2010-01-12 14:41:00
536557,17841,22468,1,2010-01-12 14:41:00
536557,17841,85232B,1,2010-01-12 14:41:00
536557,17841,21479,5,2010-01-12 14:41:00
536557,17841,22837,5,2010-01-12 14:41:00
536557,17841,22112,2,2010-01-12 14:41:00
536557,17841,21485,2,2010-01-12 14:41:00
536557,17841,22667,1,2010-01-12 14:41:00
536557,17841,84685,1,2010-01-12 14:41:00
536557,17841,79321,24,2010-01-12 14:41:00
536557,17841,22694,2,2010-01-12 14:41:00
536557,17841,22470,2,2010-01-12 14:41:00
536557,17841,20963,1,2010-01-12 14:41:00
536557,17841,22278,1,2010-01-12 14:41:00
536559,17873,84884A,10,2010-01-12 14:54:00
536559,17873,51014C,24,2010-01-12 14:54:00
536559,17873,51014L,12,2010-01-12 14:54:00
536559,17873,51014C,12,2010-01-12 14:54:00
536559,17873,51014A,12,2010-01-12 14:54:00
536560,13093,79321,48,2010-01-12 15:00:00
536560,13093,22652,10,2010-01-12 15:00:00
536560,13093,22418,96,2010-01-12 15:00:00
536561,12921,22551,12,2010-01-12 15:06:00
536561,12921,22748,6,2010-01-12 15:06:00
536561,12921,22466,12,2010-01-12 15:06:00
536562,13468,22752,2,2010-01-12 15:08:00
536563,17760,22800,4,2010-01-12 15:08:00
536563,17760,22964,4,2010-01-12 15:08:00
536569,16274,22171,1,2010-01-12 15:35:00
536569,16274,22622,1,2010-01-12 15:35:00
536569,16274,84870C,1,2010-01-12 15:35:00
536569,16274,22113,1,2010-01-12 15:35:00
536569,16274,84870B,1,2010-01-12 15:35:00
536569,16274,22738,1,2010-01-12 15:35:00
536569,16274,85232B,1,2010-01-12 15:35:00
536570,14496,22113,36,2010-01-12 15:35:00
536571,14696,22696,6,2010-01-12 15:37:00
536571,14696,84754,12,2010-01-12 15:37:00
536571,14696,22444,24,2010-01-12 15:37:00
536571,14696,21352,2,2010-01-12 15:37:00
536572,16539,22696,6,2010-01-12 15:40:00
536572,16539,22855,12,2010-01-12 15:40:00
536573,17025,22178,36,2010-01-12 15:45:00
536575,13777,21864,72,2010-01-12 16:01:00
536575,13777,84050,72,2010-01-12 16:01:00
536576,13777,84050,96,2010-01-12 16:11:00
536576,13777,20727,60,2010-01-12 16:11:00
536576,13777,85038,72,2010-01-12 16:11:00
536576,13777,20971,144,2010-01-12 16:11:00
536577,13777,22147,40,2010-01-12 16:13:00
536578,17690,22837,12,2010-01-12 16:15:00
536578,17690,21484,8,2010-01-12 16:15:00
536579,13777,20727,60,2010-01-12 16:16:00
536582,12947,21479,8,2010-01-12 16:21:00
536582,12947,21481,6,2010-01-12 16:21:00
536582,12947,84032A,6,2010-01-12 16:21:00
536582,12947,22637,12,2010-01-12 16:21:00
536587,14142,22466,12,2010-01-12 16:33:00
536587,14142,16237,30,2010-01-12 16:33:00
536587,14142,22752,2,2010-01-12 16:33:00
536587,14142,22449,6,2010-01-12 16:33:00
536587,14142,21982,24,2010-01-12 16:33:00
536587,14142,22421,12,2010-01-12 16:33:00
536588,17069,22667,12,2010-01-12 16:49:00
536590,13065,22112,3,2010-01-12 16:52:00
536590,13065,22622,2,2010-01-12 16:52:00
536590,13065,21055,1,2010-01-12 16:52:00
536591,14606,90214V,1,2010-01-12 16:57:00
536591,14606,90214S,1,2010-01-12 16:57:00
536591,14606,90214J,2,2010-01-12 16:57:00
536591,14606,21888,1,2010-01-12 16:57:00
536591,14606,22379,1,2010-01-12 16:57:00
536591,14606,20978,2,2010-01-12 16:57:00
536591,14606,20768,1,2010-01-12 16:57:00
536591,14606,22081,1,2010-01-12 16:57:00
536591,14606,51014C,12,2010-01-12 16:57:00
536591,14606,22260,5,2010-01-12 16:57:00
536591,14606,22136,1,2010-01-12 16:57:00
536591,14606,21484,2,2010-01-12 16:58:00
536591,14606,22357,1,2010-01-12 16:58:00
536594,15235,22113,4,2010-01-12 17:22:00
536595,13576,22694,5,2010-01-12 17:24:00
536595,13576,21577,1,2010-01-12 17:24:00
536597,18011,84744,1,2010-01-12 17:35:00
536597,18011,20755,6,2010-01-12 17:35:00
536598,13090,21421,12,2010-02-12 07:48:00
536598,13090,22178,24,2010-02-12 07:48:00
536599,15694,22968,8,2010-02-12 07:49:00
536600,17850,22752,2,2010-02-12 08:32:00
536602,17850,22752,2,2010-02-12 08:34:00
536605,13715,22107,8,2010-02-12 08:52:00
536605,13715,22109,8,2010-02-12 08:52:00
536605,13715,20963,10,2010-02-12 08:52:00
536607,17732,21481,6,2010-02-12 09:29:00
536607,17732,22624,2,2010-02-12 09:29:00
536609,17850,22752,2,2010-02-12 09:41:00
536611,15752,84032A,6,2010-02-12 09:43:00
536613,17855,22652,10,2010-02-12 09:44:00
536615,14047,22618,2,2010-02-12 10:09:00
536615,14047,22752,4,2010-02-12 10:09:00
536615,14047,22837,8,2010-02-12 10:09:00
536617,13941,21356,12,2010-02-12 10:17:00
536617,13941,79321,24,2010-02-12 10:17:00
536617,13941,22179,24,2010-02-12 10:17:00
536617,13941,21743,96,2010-02-12 10:17:00
536618,17017,22551,24,2010-02-12 10:17:00
536618,17017,22418,24,2010-02-12 10:17:00
536618,17017,22466,24,2010-02-12 10:17:00
536618,17017,22564,12,2010-02-12 10:17:00
536620,14135,21215,120,2010-02-12 10:27:00
536620,14135,21212,120,2010-02-12 10:27:00
536620,14135,21977,120,2010-02-12 10:27:00
536620,14135,85049G,12,2010-02-12 10:27:00
536620,14135,21328,12,2010-02-12 10:27:00
536620,14135,21060,12,2010-02-12 10:27:00
536620,14135,21061,12,2010-02-12 10:27:00
536620,14135,21719,12,2010-02-12 10:27:00
536620,14135,21883,24,2010-02-12 10:27:00
536620,14135,21881,12,2010-02-12 10:27:00
536621,13108,10135,10,2010-02-12 10:35:00
536621,13108,22422,12,2010-02-12 10:35:00
536621,13108,22752,12,2010-02-12 10:35:00
C536622,12471,22752,-2,2010-02-12 10:37:00
536623,15601,21355,24,2010-02-12 10:39:00
536623,15601,22432,6,2010-02-12 10:39:00
536623,15601,22431,6,2010-02-12 10:39:00
536623,15601,84674,6,2010-02-12 10:39:00
536624,13418,22109,16,2010-02-12 10:45:00
536624,13418,21212,24,2010-02-12 10:45:00
536624,13418,22568,4,2010-02-12 10:45:00
536624,13418,22569,4,2010-02-12 10:45:00
536624,13418,22570,4,2010-02-12 10:45:00
536627,15658,22777,2,2010-02-12 10:53:00
536628,17850,22752,2,2010-02-12 10:54:00
536630,17850,22752,2,2010-02-12 10:56:00
536632,14388,21479,4,2010-02-12 11:02:00
536632,14388,21484,4,2010-02-12 11:02:00
536632,14388,21485,3,2010-02-12 11:02:00
536632,14388,22837,4,2010-02-12 11:02:00
536632,14388,22964,6,2010-02-12 11:02:00
536633,14901,22446,3,2010-02-12 11:20:00
536633,14901,84380,6,2010-02-12 11:20:00
536633,14901,22832,4,2010-02-12 11:20:00
536634,18041,20727,20,2010-02-12 11:21:00
536634,18041,21967,12,2010-02-12 11:21:00
536634,18041,21679,30,2010-02-12 11:21:00
536635,15955,22855,48,2010-02-12 11:22:00
536635,15955,22557,12,2010-02-12 11:22:00
536635,15955,22759,12,2010-02-12 11:22:00
536635,15955,22112,12,2010-02-12 11:22:00
536637,18041,79191C,1,2010-02-12 11:35:00
536637,18041,47471,1,2010-02-12 11:35:00
536637,18041,21212,1,2010-02-12 11:35:00
536637,18041,22652,1,2010-02-12 11:35:00
536637,18041,22653,2,2010-02-12 11:35:00
536637,18041,22696,1,2010-02-12 11:35:00
536637,18041,21328,1,2010-02-12 11:35:00
536637,18041,84692,1,2010-02-12 11:35:00
536637,18041,22568,1,2010-02-12 11:35:00
536638,16244,20992,12,2010-02-12 11:41:00
536638,16244,51014A,12,2010-02-12 11:41:00
536638,16244,22113,4,2010-02-12 11:41:00
536638,16244,84031B,3,2010-02-12 11:41:00
536638,16244,47599B,6,2010-02-12 11:41:00
536638,16244,22090,6,2010-02-12 11:41:00
536638,16244,21216,4,2010-02-12 11:41:00
536638,16244,22637,6,2010-02-12 11:41:00
536638,16244,84992,24,2010-02-12 11:41:00
536638,16244,22352,6,2010-02-12 11:41:00
536638,16244,84510A,10,2010-02-12 11:41:00
536638,16244,21390,24,2010-02-12 11:41:00
536638,16244,21383,12,2010-02-12 11:41:00
536638,16244,20982,12,2010-02-12 11:41:00
536639,15111,21888,4,2010-02-12 11:45:00
536639,15111,22112,3,2010-02-12 11:45:00
536639,15111,22637,6,2010-02-12 11:45:00
536639,15111,22090,6,2010-02-12 11:45:00
536643,14390,85136A,1,2010-02-12 11:57:00
536643,14390,20723,1,2010-02-12 11:57:00
536643,14390,22418,2,2010-02-12 11:57:00
536643,14390,22375,2,2010-02-12 11:57:00
536643,14390,22371,1,2010-02-12 11:57:00
536643,14390,21479,2,2010-02-12 11:57:00
536643,14390,22112,6,2010-02-12 11:57:00
536667,15260,21741,6,2010-02-12 12:09:00
536667,15260,79321,4,2010-02-12 12:09:00
536671,13305,22855,12,2010-02-12 12:10:00
536672,14491,21288,6,2010-02-12 12:10:00
536674,15923,22964,1,2010-02-12 12:16:00
536674,15923,85038,7,2010-02-12 12:16:00
536674,15923,20986,4,2010-02-12 12:16:00
536674,15923,22501,1,2010-02-12 12:16:00
536676,16752,22442,2,2010-02-12 12:18:00
536676,16752,22759,12,2010-02-12 12:18:00
536685,17850,22752,4,2010-02-12 12:23:00
536690,17850,22752,4,2010-02-12 12:25:00
536698,15363,21743,12,2010-02-12 12:28:00
536698,15363,22493,24,2010-02-12 12:28:00
536707,12915,85132A,1,2010-02-12 12:33:00
536707,12915,22938,12,2010-02-12 12:33:00
536707,12915,22955,6,2010-02-12 12:33:00
536707,12915,22626,2,2010-02-12 12:33:00
536732,15544,21679,12,2010-02-12 12:47:00
536732,15544,21479,4,2010-02-12 12:47:00
536732,15544,21213,24,2010-02-12 12:47:00
536732,15544,21987,12,2010-02-12 12:47:00
536732,15544,21988,12,2010-02-12 12:47:00
536732,15544,21989,12,2010-02-12 12:47:00
536732,15544,22332,8,2010-02-12 12:47:00
536732,15544,22437,20,2010-02-12 12:47:00
536732,15544,21212,24,2010-02-12 12:47:00
536733,15738,22333,16,2010-02-12 12:50:00
536733,15738,47599A,12,2010-02-12 12:50:00
536733,15738,22083,6,2010-02-12 12:50:00
536733,15738,47599B,6,2010-02-12 12:50:00
536739,14180,85159A,2,2010-02-12 13:08:00
536739,14180,21784,2,2010-02-12 13:08:00
536740,15827,22964,6,2010-02-12 13:08:00
536741,13117,17090D,6,2010-02-12 13:11:00
536741,13117,22652,10,2010-02-12 13:11:00
536742,16916,47504H,1,2010-02-12 13:14:00
536742,16916,84692,1,2010-02-12 13:14:00
536742,16916,84380,1,2010-02-12 13:14:00
536742,16916,20978,1,2010-02-12 13:14:00
536742,16916,22553,1,2010-02-12 13:14:00
536742,16916,22450,1,2010-02-12 13:14:00
536742,16916,84519B,2,2010-02-12 13:14:00
536742,16916,22862,2,2010-02-12 13:14:00
536742,16916,21213,1,2010-02-12 13:14:00
536742,16916,22558,2,2010-02-12 13:14:00
536742,16916,22379,1,2010-02-12 13:14:00
536742,16916,22470,1,2010-02-12 13:14:00
536742,16916,20978,3,2010-02-12 13:14:00
536742,16916,22557,1,2010-02-12 13:14:00
536742,16916,22652,1,2010-02-12 13:14:00
536743,17964,22045,25,2010-02-12 13:32:00
536743,17964,90180A,1,2010-02-12 13:32:00
536743,17964,20984,2,2010-02-12 13:32:00
536743,17964,22622,2,2010-02-12 13:32:00
536743,17964,22551,1,2010-02-12 13:32:00
536743,17964,20828,2,2010-02-12 13:32:00
536743,17964,22653,2,2010-02-12 13:32:00
536743,17964,22785,2,2010-02-12 13:32:00
536743,17964,22800,4,2010-02-12 13:32:00
536744,14466,22955,6,2010-02-12 13:36:00
536744,14466,22956,6,2010-02-12 13:36:00
536744,14466,21625,6,2010-02-12 13:36:00
536745,17235,22738,30,2010-02-12 13:38:00
536745,17235,85177,12,2010-02-12 13:38:00
536746,16510,22914,3,2010-02-12 13:39:00
536746,16510,21258,1,2010-02-12 13:39:00
536747,17802,16156S,25,2010-02-12 13:44:00
536747,17802,85049G,3,2010-02-12 13:44:00
536747,17802,85049H,3,2010-02-12 13:44:00
536749,17976,22379,1,2010-02-12 13:49:00
536749,17976,22752,1,2010-02-12 13:49:00
536749,17976,22174,2,2010-02-12 13:49:00
536749,17976,21212,2,2010-02-12 13:49:00
536749,17976,22371,1,2010-02-12 13:49:00
536749,17976,22371,2,2010-02-12 13:49:00
536749,17976,22667,1,2010-02-12 13:49:00
536749,17976,22569,1,2010-02-12 13:49:00
536750,17850,22752,4,2010-02-12 14:04:00
536752,17850,22752,4,2010-02-12 14:06:00
536754,14449,22470,4,2010-02-12 14:09:00
536754,14449,84754,1,2010-02-12 14:09:00
536754,14449,22296,5,2010-02-12 14:09:00
536754,14449,21948,1,2010-02-12 14:09:00
536754,14449,21949,1,2010-02-12 14:09:00
536754,14449,22558,1,2010-02-12 14:09:00
536754,14449,20755,1,2010-02-12 14:09:00
536754,14449,22418,12,2010-02-12 14:09:00
536754,14449,22652,2,2010-02-12 14:09:00
536754,14449,22553,1,2010-02-12 14:09:00
536754,14449,21544,10,2010-02-12 14:09:00
